Rk,Player,Debut,Age,Yrs,G▼,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MPG,PTSPG,TRBPG,ASTPG
1,Dillon Brooks\brookdi01,Oct 18 '17 MEM vs. NOP,22,1,82,2350,340,772,94,264,124,166,49,257,135,73,17,124,233,898,.440,.356,.747,28.7,11.0,3.1,1.6
2,Ben Simmons\simmobe01,Oct 18 '17 PHI @ WAS,21,1,81,2732,544,998,0,11,191,341,145,659,661,140,70,278,211,1279,.545,.000,.560,33.7,15.8,8.1,8.2
3,Jayson Tatum\tatumja01,Oct 17 '17 BOS @ CLE,19,1,80,2443,397,835,105,242,213,258,50,402,128,83,58,114,170,1112,.475,.434,.826,30.5,13.9,5.0,1.6
4,Donovan Mitchell\mitchdo01,Oct 18 '17 UTA vs. DEN,21,1,79,2638,595,1362,187,550,239,297,52,296,291,118,27,215,213,1616,.437,.340,.805,33.4,20.5,3.7,3.7
5,Bogdan Bogdanović\bogdabo01,Oct 23 '17 SAC @ PHO,25,1,78,2175,344,772,129,329,100,119,31,223,258,72,16,125,172,917,.446,.392,.840,27.9,11.8,2.9,3.3
6,Frank Ntilikina\ntilila01,Oct 19 '17 NYK @ OKC,19,1,78,1706,182,500,50,157,49,68,37,177,250,65,18,131,181,463,.364,.318,.721,21.9,5.9,2.3,3.2
7,Josh Jackson\jacksjo02,Oct 18 '17 PHO vs. POR,20,1,77,1959,389,932,57,217,177,279,95,351,119,80,35,146,218,1012,.417,.263,.634,25.4,13.1,4.6,1.5
8,Kyle Kuzma\kuzmaky01,Oct 19 '17 LAL vs. LAC,22,1,77,2401,468,1039,159,434,147,208,88,483,141,49,34,140,160,1242,.450,.366,.707,31.2,16.1,6.3,1.8
9,OG Anunoby\anunoog01,Oct 19 '17 TOR vs. CHI,20,1,74,1481,163,346,73,197,39,62,44,184,55,52,14,45,130,438,.471,.371,.629,20.0,5.9,2.5,0.7
10,John Collins\collijo01,Oct 18 '17 ATL @ DAL,20,1,74,1785,314,545,16,47,133,186,176,541,98,47,80,105,215,777,.576,.340,.715,24.1,10.5,7.3,1.3
11,De'Aaron Fox\foxde01,Oct 18 '17 SAC vs. HOU,20,1,73,2026,328,797,47,153,141,195,33,204,320,70,20,173,163,844,.412,.307,.723,27.8,11.6,2.8,4.4
12,Luke Kennard\kennalu01,Oct 20 '17 DET @ WAS,21,1,73,1463,206,465,81,195,65,76,21,176,124,44,13,69,86,558,.443,.415,.855,20.0,7.6,2.4,1.7
13,Semi Ojeleye\ojelese01,Oct 17 '17 BOS @ CLE,23,1,73,1150,65,188,40,125,25,41,37,161,20,21,4,25,91,195,.346,.320,.610,15.8,2.7,2.2,0.3
14,Sindarius Thornwell\thornsi01,Oct 19 '17 LAC @ LAL,23,1,73,1156,100,233,23,61,59,88,33,140,68,48,25,53,125,282,.429,.377,.670,15.8,3.9,1.9,0.9
15,Jarrett Allen\allenja01,Oct 20 '17 BRK vs. ORL,19,1,72,1441,234,397,5,15,114,147,144,388,49,28,88,82,147,587,.589,.333,.776,20.0,8.2,5.4,0.7
16,Maxi Kleber\klebima01,Oct 21 '17 DAL @ HOU,26,1,72,1206,151,309,40,128,44,59,71,234,51,26,47,30,114,386,.489,.313,.746,16.8,5.4,3.3,0.7
17,Bam Adebayo\adebaba01,Oct 18 '17 MIA @ ORL,20,1,69,1368,174,340,0,7,129,179,118,381,101,32,41,66,138,477,.512,.000,.721,19.8,6.9,5.5,1.5
18,Royce O'Neale\onealro01,Oct 21 '17 UTA vs. OKC,24,1,69,1150,120,284,42,118,61,76,25,236,95,36,16,55,105,343,.423,.356,.803,16.7,5.0,3.4,1.4
19,Dennis Smith\smithde03,Oct 18 '17 DAL vs. ATL,20,1,69,2049,404,1024,106,339,134,193,50,260,358,71,18,194,152,1048,.395,.313,.694,29.7,15.2,3.8,5.2
20,Justin Jackson\jacksju01,Oct 18 '17 SAC vs. HOU,22,1,68,1506,185,419,57,185,26,36,27,187,74,28,13,40,81,453,.442,.308,.722,22.1,6.7,2.8,1.1
21,Lauri Markkanen\markkla01,Oct 19 '17 CHI @ TOR,20,1,68,2020,374,862,145,401,140,166,79,508,79,39,40,83,103,1033,.434,.362,.843,29.7,15.2,7.5,1.2
22,Zach Collins\colliza01,Oct 20 '17 POR @ IND,20,1,66,1045,115,289,35,113,27,42,45,221,52,17,31,58,133,292,.398,.310,.643,15.8,4.4,3.3,0.8
23,Brandon Paul\paulbr01,Oct 18 '17 SAS vs. MIN,26,1,64,576,55,127,15,54,22,43,6,68,37,25,7,29,58,147,.433,.278,.512,9.0,2.3,1.1,0.6
24,Josh Hart\hartjo01,Oct 20 '17 LAL @ PHO,22,1,63,1461,176,375,78,197,66,94,42,263,80,47,16,47,107,496,.469,.396,.702,23.2,7.9,4.2,1.3
25,Malik Monk\monkma01,Oct 18 '17 CHO @ DET,19,1,63,854,153,425,83,243,32,38,8,66,91,20,9,49,60,421,.360,.342,.842,13.6,6.7,1.0,1.4
26,Daniel Theis\theisda01,Oct 18 '17 BOS vs. MIL,25,1,63,936,126,233,18,58,61,81,90,274,56,30,48,56,157,331,.541,.310,.753,14.9,5.3,4.3,0.9
27,Wesley Iwundu\iwundwe01,Oct 21 '17 ORL @ CLE,23,1,62,1020,93,218,9,46,34,47,36,137,57,33,12,30,81,229,.427,.196,.723,16.5,3.7,2.2,0.9
28,Terrance Ferguson\fergute01,Oct 19 '17 OKC vs. NYK,19,1,61,763,70,169,40,120,9,10,19,47,19,24,10,11,83,189,.414,.333,.900,12.5,3.1,0.8,0.3
29,Cedi Osman\osmande01,Oct 20 '17 CLE @ MIL,22,1,61,672,90,186,32,87,26,46,19,120,41,22,3,32,78,238,.484,.368,.565,11.0,3.9,2.0,0.7
30,Jordan Bell\belljo01,Oct 17 '17 GSW vs. HOU,23,1,57,809,116,185,0,4,30,44,60,207,102,35,56,51,92,262,.627,.000,.682,14.2,4.6,3.6,1.8
31,Tyler Dorsey\dorsety01,Oct 20 '17 ATL @ CHO,21,1,56,974,144,382,72,199,45,63,17,130,79,17,5,37,63,405,.377,.362,.714,17.4,7.2,2.3,1.4
32,Sterling Brown\brownst02,Oct 20 '17 MIL vs. CLE,22,1,54,776,82,205,32,91,21,24,27,143,25,31,13,25,80,217,.400,.352,.875,14.4,4.0,2.6,0.5
33,Dwayne Bacon\bacondw01,Oct 18 '17 CHO @ DET,22,1,53,713,72,192,11,43,20,25,4,124,38,16,2,23,46,175,.375,.256,.800,13.5,3.3,2.3,0.7
34,T.J. Leaf\leaftj01,Oct 18 '17 IND vs. BRK,20,1,53,459,64,136,18,42,10,16,29,82,9,5,4,10,45,156,.471,.429,.625,8.7,2.9,1.5,0.2
35,Lonzo Ball\balllo01,Oct 19 '17 LAL vs. LAC,20,1,52,1780,203,564,90,295,32,71,69,360,376,88,43,136,117,528,.360,.305,.451,34.2,10.2,6.9,7.2
36,Frank Mason\masonfr01,Oct 21 '17 SAC @ DEN,23,1,52,984,144,380,31,86,94,115,30,130,147,34,10,65,72,413,.379,.360,.817,18.9,7.9,2.5,2.8
37,Jawun Evans\evansja01,Oct 30 '17 LAC vs. GSW,21,1,48,778,89,253,15,54,38,49,9,84,100,36,6,44,97,231,.352,.278,.776,16.2,4.8,1.8,2.1
38,Abdel Nader\naderab01,Oct 18 '17 BOS vs. MIL,24,1,48,522,50,149,23,65,23,39,13,71,26,15,10,34,45,146,.336,.354,.590,10.9,3.0,1.5,0.5
39,Miloš Teodosić\teodomi01,Oct 19 '17 LAC @ LAL,30,1,45,1134,151,360,88,232,39,46,16,126,209,23,5,97,103,429,.419,.379,.848,25.2,9.5,2.8,4.6
40,Damyean Dotson\dotsoda01,Oct 19 '17 NYK @ OKC,23,1,44,474,72,161,22,68,16,23,9,84,31,12,2,17,34,182,.447,.324,.696,10.8,4.1,1.9,0.7
41,Khem Birch\birchkh01,Oct 21 '17 ORL @ CLE,25,1,42,578,68,126,0,0,42,61,70,180,34,15,21,21,56,178,.540,,.689,13.8,4.2,4.3,0.8
42,Tyler Cavanaugh\cavanty01,Nov 5 '17 ATL @ CLE,23,1,39,518,67,152,32,89,17,21,45,127,27,9,4,14,61,183,.441,.360,.810,13.3,4.7,3.3,0.7
43,Torrey Craig\craigto01,Nov 28 '17 DEN @ UTA,27,1,39,629,62,137,17,58,22,35,40,127,25,12,15,20,63,163,.453,.293,.629,16.1,4.2,3.3,0.6
44,C.J. Williams\willicj01,Nov 10 '17 LAC @ OKC,27,1,38,707,87,197,22,78,13,16,12,56,43,31,13,20,63,209,.442,.282,.813,18.6,5.5,1.5,1.1
45,Alex Caruso\carusal01,Oct 19 '17 LAL vs. LAC,23,1,37,562,50,116,13,43,21,30,15,65,75,23,10,42,52,134,.431,.302,.700,15.2,3.6,1.8,2.0
46,Mike James\jamesmi02,Oct 18 '17 PHO vs. POR,27,1,36,687,123,321,26,98,64,84,13,90,126,28,7,49,48,336,.383,.265,.762,19.1,9.3,2.5,3.5
47,Ivan Rabb\rabbiv01,Oct 28 '17 MEM vs. HOU,20,1,36,516,86,152,0,0,29,36,53,158,32,12,13,35,55,201,.566,,.806,14.3,5.6,4.4,0.9
48,Guerschon Yabusele\yabusgu01,Oct 20 '17 BOS @ PHI,22,1,33,235,26,61,12,37,15,22,17,52,16,4,5,12,23,79,.426,.324,.682,7.1,2.4,1.6,0.5
49,Kyle Collinsworth\colliky01,Dec 20 '17 DAL vs. DET,26,1,32,480,38,99,4,17,21,40,32,107,56,17,9,24,44,101,.384,.235,.525,15.0,3.2,3.3,1.8
50,Kobi Simmons\simmoko01,Nov 29 '17 MEM @ SAS,20,1,32,643,80,189,11,39,25,25,14,50,68,18,5,44,61,196,.423,.282,1.000,20.1,6.1,1.6,2.1
51,Ante Žižić\zizican01,Oct 21 '17 CLE vs. ORL,21,1,32,214,49,67,0,0,21,29,24,60,5,2,13,11,30,119,.731,,.724,6.7,3.7,1.9,0.2
52,Dakari Johnson\johnsda04,Oct 19 '17 OKC vs. NYK,22,1,31,161,22,39,0,0,11,20,16,34,8,6,8,3,27,55,.564,,.550,5.2,1.8,1.1,0.3
53,Tyrone Wallace\wallaty01,Jan 6 '18 LAC vs. GSW,23,1,30,851,110,247,10,40,61,78,21,105,71,27,13,46,83,291,.445,.250,.782,28.4,9.7,3.5,2.4
54,Jonathan Isaac\isaacjo01,Oct 18 '17 ORL vs. MIA,20,1,27,536,55,145,16,46,19,25,16,99,18,33,30,27,48,145,.379,.348,.760,19.9,5.4,3.7,0.7
55,Caleb Swanigan\swanica01,Oct 18 '17 POR @ PHO,20,1,27,189,24,60,1,8,12,18,15,54,14,5,3,18,37,61,.400,.125,.667,7.0,2.3,2.0,0.5
56,Ryan Arcidiacono\arcidry01,Oct 19 '17 CHI @ TOR,23,1,24,304,17,41,9,31,5,6,1,25,35,13,0,13,18,48,.415,.290,.833,12.7,2.0,1.0,1.5
57,John Holland\hollajo02,Apr 19 '16 BOS @ ATL,29,1,24,174,17,59,11,36,9,13,6,24,5,7,2,8,10,54,.288,.306,.692,7.3,2.3,1.0,0.2
58,Shaquille Harrison\harrish01,Feb 23 '18 PHO vs. LAC,24,1,23,384,59,124,6,26,28,38,9,61,55,26,7,22,42,152,.476,.231,.737,16.7,6.6,2.7,2.4
59,D.J. Wilson\wilsodj01,Oct 20 '17 MIL vs. CLE,21,1,22,71,9,16,2,5,1,2,2,10,3,3,1,4,7,21,.563,.400,.500,3.2,1.0,0.5,0.1
60,Davon Reed\reedda01,Jan 14 '18 PHO vs. IND,22,1,21,242,22,76,11,38,8,12,2,39,13,10,2,10,17,63,.289,.289,.667,11.5,3.0,1.9,0.6
61,Myke Henry\henrymy01,Jan 20 '18 MEM @ NOP,25,1,20,378,41,109,19,58,6,10,10,38,22,31,6,19,28,107,.376,.328,.600,18.9,5.4,1.9,1.1
62,Luke Kornet\kornelu01,Feb 8 '18 NYK @ TOR,22,1,20,326,49,125,28,79,8,11,11,64,26,6,16,12,28,134,.392,.354,.727,16.3,6.7,3.2,1.3
63,Alec Peters\peteral01,Oct 18 '17 PHO vs. POR,22,1,20,225,28,74,18,58,8,10,8,37,12,2,2,4,13,82,.378,.310,.800,11.3,4.1,1.9,0.6
